timestamp,voltage_kv,current_a,oil_temperature_c,vibration_mm_s,oil_level_percent,load_factor_percent,ambient_temperature_c,fault_status
2023-01-03 22:00:00,229.96,179.6,65.6,0.41,99.6,83.1,14.6,Normal
2023-01-03 23:00:00,223.48,158.1,61.2,0.99,97.5,57.0,36.8,Warning
2023-01-04 00:00:00,219.79,167.8,69.1,0.63,88.2,68.4,33.2,Warning
2023-01-04 01:00:00,229.75,145.2,57.7,0.44,97.3,82.5,15.2,Normal
2023-01-04 02:00:00,230.5,165.0,51.6,0.55,93.0,83.6,17.4,Normal
2023-01-04 03:00:00,220.98,117.4,65.4,0.53,92.3,84.6,8.4,Normal
2023-01-04 04:00:00,224.47,149.7,68.5,0.81,83.7,77.3,42.1,Warning
2023-01-04 05:00:00,227.12,166.7,56.0,0.55,99.3,37.9,17.0,Normal
2023-01-04 06:00:00,232.89,145.9,68.0,0.44,95.3,72.7,36.7,Normal
2023-01-04 07:00:00,231.27,156.8,61.7,0.45,93.7,80.9,20.8,Normal
2023-01-04 08:00:00,231.45,191.5,72.0,0.47,98.6,68.9,4.6,Normal
2023-01-04 09:00:00,224.96,112.6,62.2,0.5,100.0,79.9,22.8,Normal
2023-01-04 10:00:00,234.15,105.8,66.9,0.58,90.6,92.2,28.4,Normal
2023-01-04 11:00:00,221.68,195.8,97.7,0.84,89.2,75.8,19.8,Warning
2023-01-04 12:00:00,234.15,132.9,65.6,0.45,96.4,80.0,35.4,Normal
2023-01-04 13:00:00,227.45,144.6,57.2,0.46,96.1,86.4,15.8,Normal
2023-01-04 14:00:00,220.44,260.7,96.2,2.06,73.8,63.9,8.3,Critical
2023-01-04 15:00:00,237.48,163.1,64.6,0.53,91.6,111.7,26.3,Normal
2023-01-04 16:00:00,230.55,164.5,68.8,0.52,92.6,82.1,43.8,Normal
2023-01-04 17:00:00,236.73,181.9,60.9,0.4,94.6,75.8,35.9,Normal
2023-01-04 18:00:00,221.54,180.6,63.7,0.46,92.0,50.2,33.2,Normal
2023-01-04 19:00:00,230.37,124.2,54.6,0.47,100.0,71.1,10.0,Normal
2023-01-04 20:00:00,228.77,144.5,43.4,0.49,94.3,85.4,43.5,Normal
2023-01-04 21:00:00,235.63,144.6,56.1,0.76,95.2,75.2,24.8,Normal
2023-01-04 22:00:00,230.99,147.1,60.4,0.45,94.9,66.8,17.9,Normal
2023-01-04 23:00:00,230.53,144.9,77.0,0.23,98.3,93.7,4.3,Normal
2023-01-05 00:00:00,205.89,208.9,68.9,1.27,71.1,120.0,49.0,Critical
2023-01-05 01:00:00,236.36,164.4,56.0,0.45,96.5,56.7,32.1,Normal
2023-01-05 02:00:00,207.12,208.8,100.7,1.63,77.1,120.0,18.8,Critical
2023-01-05 03:00:00,229.93,194.8,71.9,0.87,81.7,103.5,27.8,Warning
2023-01-05 04:00:00,227.39,171.0,59.4,0.36,90.3,84.1,12.2,Normal
2023-01-05 05:00:00,238.77,108.4,78.6,0.52,94.7,66.8,29.0,Normal
2023-01-05 06:00:00,229.81,172.1,65.9,0.52,93.9,74.1,28.1,Normal
2023-01-05 07:00:00,221.45,123.0,70.9,0.52,94.4,75.3,28.5,Normal
2023-01-05 08:00:00,227.3,134.4,66.6,0.4,96.2,49.5,35.3,Normal
2023-01-05 09:00:00,232.36,155.1,72.9,0.67,98.0,47.4,12.2,Normal
2023-01-05 10:00:00,226.88,150.5,69.1,0.43,95.6,63.7,18.9,Normal
2023-01-05 11:00:00,222.97,131.5,54.2,0.4,98.2,60.8,50.0,Normal
2023-01-05 12:00:00,232.47,153.7,58.1,0.57,93.3,76.8,50.0,Normal
2023-01-05 13:00:00,208.85,254.5,79.5,1.49,94.2,79.3,50.0,Critical
2023-01-05 14:00:00,230.66,165.9,81.3,0.99,91.1,53.6,21.3,Warning
2023-01-05 15:00:00,228.76,148.5,70.0,0.52,91.0,80.7,31.1,Normal
2023-01-05 16:00:00,232.8,171.6,71.7,0.55,94.8,50.1,29.3,Normal
2023-01-05 17:00:00,231.04,155.4,54.8,0.39,98.2,74.4,31.8,Normal
2023-01-05 18:00:00,225.23,180.7,84.4,0.7,88.5,75.8,24.8,Warning
2023-01-05 19:00:00,222.53,185.6,70.2,1.05,83.5,81.3,24.7,Warning
2023-01-05 20:00:00,237.23,153.9,73.3,0.35,95.8,88.3,25.8,Normal
2023-01-05 21:00:00,235.33,139.7,76.3,0.73,93.9,68.3,39.5,Normal
2023-01-05 22:00:00,237.9,139.5,61.6,0.47,91.0,61.2,15.0,Normal
2023-01-05 23:00:00,226.16,149.3,66.9,0.66,92.0,89.8,22.9,Normal
2023-01-06 00:00:00,229.75,163.5,56.0,0.54,95.5,82.4,27.9,Normal
2023-01-06 01:00:00,242.28,137.2,60.8,0.44,93.3,65.4,36.9,Normal
2023-01-06 02:00:00,237.1,138.6,58.3,0.55,93.3,84.5,27.0,Normal
2023-01-06 03:00:00,222.42,181.0,79.4,0.44,93.8,79.3,28.3,Normal
2023-01-06 04:00:00,233.29,190.2,63.6,0.42,90.9,64.0,24.7,Normal
2023-01-06 05:00:00,238.97,139.6,66.8,0.5,98.6,112.9,19.7,Normal
2023-01-06 06:00:00,227.55,170.9,70.5,0.68,96.8,69.6,30.9,Normal
2023-01-06 07:00:00,233.87,200.5,80.1,1.01,93.8,112.6,37.8,Warning
2023-01-06 08:00:00,223.66,183.7,87.1,0.64,89.8,77.1,30.3,Warning
2023-01-06 09:00:00,235.23,184.8,75.5,0.53,91.7,97.9,50.0,Warning
2023-01-06 10:00:00,228.46,154.4,67.0,0.66,94.7,79.2,31.1,Normal
2023-01-06 11:00:00,230.93,141.1,66.6,0.61,91.9,77.0,18.0,Normal
2023-01-06 12:00:00,234.56,141.9,69.4,0.88,95.8,83.7,23.3,Warning
2023-01-06 13:00:00,240.05,143.8,53.0,0.89,85.5,64.6,38.5,Warning
2023-01-06 14:00:00,231.22,138.7,54.8,0.59,97.0,73.5,43.5,Normal
2023-01-06 15:00:00,224.65,119.5,59.5,0.5,95.7,71.4,28.5,Normal
2023-01-06 16:00:00,223.74,178.9,64.3,0.61,96.0,81.9,30.7,Normal
2023-01-06 17:00:00,232.24,162.9,75.6,0.52,97.1,73.7,39.4,Normal
2023-01-06 18:00:00,226.62,186.0,64.7,0.36,95.4,64.8,33.4,Normal
2023-01-06 19:00:00,226.74,141.1,49.9,0.45,87.7,51.2,32.6,Normal
2023-01-06 20:00:00,233.93,158.5,57.3,0.5,95.0,57.6,40.0,Normal
2023-01-06 21:00:00,234.39,145.6,65.2,0.52,88.9,71.3,18.2,Normal
2023-01-06 22:00:00,224.99,144.4,79.4,0.56,93.3,83.6,39.0,Normal
2023-01-06 23:00:00,232.4,181.5,68.5,0.94,90.0,102.9,37.6,Warning
2023-01-07 00:00:00,235.25,139.3,75.5,0.52,100.0,64.7,42.4,Normal
2023-01-07 01:00:00,230.99,137.0,61.1,0.47,96.3,82.8,19.3,Normal
2023-01-07 02:00:00,229.88,192.8,78.8,0.54,95.1,76.8,31.1,Normal
2023-01-07 03:00:00,224.89,144.9,51.7,0.54,96.9,67.8,40.7,Normal
2023-01-07 04:00:00,223.87,120.7,66.8,0.6,100.0,68.1,35.8,Normal
2023-01-07 05:00:00,229.81,146.5,72.1,0.57,90.3,97.1,38.8,Normal
2023-01-07 06:00:00,202.49,231.9,97.4,1.58,75.6,78.2,34.6,Critical
2023-01-07 07:00:00,235.86,160.9,62.0,0.58,86.5,92.2,7.6,Normal
2023-01-07 08:00:00,228.19,127.6,54.6,0.62,93.6,80.2,24.5,Normal
2023-01-07 09:00:00,232.39,151.5,54.7,0.6,93.5,51.7,20.7,Normal
2023-01-07 10:00:00,237.5,167.0,62.2,0.47,94.0,106.2,28.8,Normal
2023-01-07 11:00:00,232.15,170.6,66.9,0.47,94.4,73.9,24.6,Normal
2023-01-07 12:00:00,233.64,151.0,70.9,0.49,95.2,45.0,34.2,Normal
2023-01-07 13:00:00,231.73,170.0,41.8,0.71,94.6,91.6,14.6,Normal
2023-01-07 14:00:00,233.06,128.9,60.0,0.69,94.4,78.3,33.7,Normal
2023-01-07 15:00:00,232.48,153.0,67.9,0.74,94.8,78.0,35.5,Normal
2023-01-07 16:00:00,235.53,173.7,70.1,0.39,99.9,57.8,28.0,Normal
2023-01-07 17:00:00,226.23,148.7,67.6,0.53,96.3,99.2,29.5,Normal
2023-01-07 18:00:00,228.78,169.3,74.5,0.38,96.8,85.5,22.0,Normal
2023-01-07 19:00:00,236.01,176.2,76.3,0.77,88.1,63.1,12.7,Warning
2023-01-07 20:00:00,237.76,158.8,65.1,0.37,84.8,58.5,49.7,Warning
2023-01-07 21:00:00,235.05,136.2,83.0,0.6,94.0,37.5,47.9,Normal
2023-01-07 22:00:00,223.05,117.1,73.2,0.74,99.2,83.5,30.9,Normal
2023-01-07 23:00:00,234.27,165.2,67.2,0.51,94.8,63.7,22.2,Normal
2023-01-08 00:00:00,221.54,148.0,57.1,0.39,95.5,95.9,34.2,Normal
2023-01-08 01:00:00,222.15,130.2,72.5,0.4,94.3,83.3,15.3,Normal
2023-01-08 02:00:00,225.84,146.6,69.0,0.86,80.0,93.8,29.8,Warning
2023-01-08 03:00:00,232.76,154.5,75.9,0.51,93.7,76.8,30.4,Normal
2023-01-08 04:00:00,230.24,150.8,59.4,0.43,90.8,101.2,12.6,Normal
2023-01-08 05:00:00,226.54,135.6,72.2,0.47,98.7,64.9,27.8,Normal
2023-01-08 06:00:00,218.32,233.6,63.1,0.86,91.2,93.3,27.8,Warning
2023-01-08 07:00:00,229.35,150.9,63.8,0.6,100.0,66.6,11.3,Normal
2023-01-08 08:00:00,229.56,201.6,58.6,0.66,100.0,66.7,30.7,Normal
2023-01-08 09:00:00,238.14,142.4,63.4,0.44,92.0,65.3,12.8,Normal
2023-01-08 10:00:00,230.17,134.6,66.9,0.34,96.0,87.5,5.1,Normal
2023-01-08 11:00:00,231.87,174.6,55.3,0.67,96.3,64.4,24.4,Normal
2023-01-08 12:00:00,232.79,151.5,69.3,0.41,95.5,53.8,23.9,Normal
2023-01-08 13:00:00,225.48,135.3,74.9,0.61,96.8,58.6,21.8,Normal
2023-01-08 14:00:00,224.56,224.3,120.0,1.62,81.5,87.3,37.0,Critical
2023-01-08 15:00:00,229.24,164.2,72.7,0.42,91.0,47.5,30.1,Normal
2023-01-08 16:00:00,224.48,106.9,68.1,0.75,95.0,87.6,25.8,Normal
2023-01-08 17:00:00,229.51,168.4,62.7,0.53,96.0,65.0,34.9,Normal
2023-01-08 18:00:00,223.6,161.1,80.4,0.62,88.1,84.8,43.0,Warning
2023-01-08 19:00:00,232.37,149.5,71.5,0.64,96.7,75.2,11.9,Normal
2023-01-08 20:00:00,224.67,143.9,60.1,0.48,95.2,82.9,24.3,Normal
2023-01-08 21:00:00,232.43,151.3,49.2,0.41,94.6,56.9,31.0,Normal
2023-01-08 22:00:00,237.65,174.4,63.3,0.65,95.4,69.9,18.9,Normal
2023-01-08 23:00:00,228.49,142.2,66.4,0.52,95.0,81.6,36.9,Normal
2023-01-09 00:00:00,234.75,120.3,44.6,0.59,90.9,71.6,13.3,Normal
2023-01-09 01:00:00,210.58,193.5,82.6,0.68,75.0,74.1,34.7,Warning
2023-01-09 02:00:00,222.61,153.7,64.9,0.56,95.4,60.4,37.0,Normal
2023-01-09 03:00:00,223.73,179.3,65.7,0.71,83.6,81.5,50.0,Warning
2023-01-09 04:00:00,223.14,117.7,76.8,0.48,93.0,90.6,18.9,Normal
2023-01-09 05:00:00,239.13,163.6,61.1,0.72,93.2,86.1,28.0,Normal
2023-01-09 06:00:00,225.62,266.8,90.5,1.27,83.7,78.1,50.0,Critical
2023-01-09 07:00:00,226.09,170.9,76.8,0.53,83.1,109.0,22.1,Warning
2023-01-09 08:00:00,200.0,236.1,107.8,1.72,88.0,76.1,13.7,Critical
2023-01-09 09:00:00,237.01,171.9,72.5,1.07,90.8,94.1,50.0,Warning
2023-01-09 10:00:00,219.85,203.2,75.6,0.85,95.6,95.2,36.5,Warning
2023-01-09 11:00:00,235.36,142.7,58.3,0.4,89.1,105.8,14.0,Normal
2023-01-09 12:00:00,228.89,144.5,67.5,0.58,97.6,66.3,23.3,Normal
2023-01-09 13:00:00,231.41,145.0,77.9,0.55,97.2,84.9,36.7,Normal
2023-01-09 14:00:00,230.91,124.1,68.2,0.43,93.4,83.8,37.4,Normal
2023-01-09 15:00:00,230.11,156.2,78.6,0.52,100.0,83.5,7.4,Normal
2023-01-09 16:00:00,233.77,157.6,75.3,0.57,94.6,56.6,22.9,Normal
2023-01-09 17:00:00,200.0,202.6,98.8,2.0,83.2,65.1,41.7,Critical
2023-01-09 18:00:00,235.98,137.8,63.9,0.5,92.6,84.7,23.8,Normal
2023-01-09 19:00:00,232.1,132.3,61.5,0.57,93.9,100.9,21.0,Normal
2023-01-09 20:00:00,231.12,168.7,53.7,0.32,90.4,93.9,19.5,Normal
2023-01-09 21:00:00,242.79,138.7,66.5,0.65,100.0,105.9,37.1,Normal
2023-01-09 22:00:00,222.29,237.8,101.7,1.33,73.5,94.9,32.4,Critical
2023-01-09 23:00:00,204.56,240.9,104.3,1.53,91.8,66.5,32.1,Critical
2023-01-10 00:00:00,226.42,112.7,64.3,0.49,99.5,84.5,14.8,Normal
2023-01-10 01:00:00,239.27,174.4,69.7,0.48,92.1,69.4,35.9,Normal
2023-01-10 02:00:00,239.42,180.9,61.1,0.39,95.4,48.5,28.2,Normal
2023-01-10 03:00:00,229.26,140.7,52.2,0.55,93.4,57.5,-3.7,Normal
2023-01-10 04:00:00,209.67,273.2,114.9,1.36,75.2,106.7,20.0,Critical
2023-01-10 05:00:00,231.51,165.3,74.8,0.49,94.4,61.8,16.7,Normal
2023-01-10 06:00:00,228.87,157.3,72.3,0.42,99.5,70.9,24.8,Normal
2023-01-10 07:00:00,226.26,101.5,72.1,0.57,94.2,76.0,30.2,Normal
2023-01-10 08:00:00,222.19,139.4,71.4,0.37,95.9,54.7,29.7,Normal
2023-01-10 09:00:00,229.82,117.7,74.3,0.43,92.6,78.0,36.5,Normal
2023-01-10 10:00:00,224.92,151.2,68.4,0.57,95.5,69.5,16.7,Normal
2023-01-10 11:00:00,225.69,153.2,45.8,0.89,92.5,37.7,17.9,Warning
2023-01-10 12:00:00,233.1,191.1,65.2,0.43,94.5,95.6,18.5,Normal
2023-01-10 13:00:00,200.41,205.5,75.7,1.54,93.0,103.1,31.2,Critical
2023-01-10 14:00:00,228.54,118.7,72.1,0.49,94.5,120.0,28.0,Normal
2023-01-10 15:00:00,226.24,141.5,74.2,0.51,90.7,88.8,18.3,Normal
2023-01-10 16:00:00,239.37,171.6,61.4,0.63,95.2,87.8,29.8,Normal
2023-01-10 17:00:00,225.77,137.1,73.2,0.47,93.8,60.7,29.2,Normal
2023-01-10 18:00:00,240.31,128.6,65.2,0.64,94.8,81.8,14.4,Normal
2023-01-10 19:00:00,232.14,146.3,72.9,0.62,100.0,83.7,28.3,Normal
2023-01-10 20:00:00,226.56,171.2,78.4,0.74,88.8,111.4,17.9,Warning
2023-01-10 21:00:00,235.7,176.3,64.1,0.29,93.2,94.5,24.8,Normal
2023-01-10 22:00:00,225.0,139.9,71.7,0.55,94.3,69.5,21.1,Normal
2023-01-10 23:00:00,225.39,182.3,62.4,0.62,99.6,90.0,20.7,Normal
2023-01-11 00:00:00,232.02,149.5,57.8,0.53,91.5,92.8,20.4,Normal
2023-01-11 01:00:00,231.01,155.7,62.9,0.56,93.6,88.1,11.5,Normal
2023-01-11 02:00:00,230.63,188.8,57.0,0.43,96.5,77.7,28.5,Normal
2023-01-11 03:00:00,228.91,195.9,86.1,0.88,86.8,98.5,50.0,Warning
2023-01-11 04:00:00,229.34,130.5,73.9,0.49,88.5,87.7,19.6,Normal
2023-01-11 05:00:00,229.55,156.6,66.5,0.57,93.7,82.7,22.4,Normal
2023-01-11 06:00:00,233.69,162.3,57.5,0.61,93.4,87.1,28.7,Normal
2023-01-11 07:00:00,239.19,145.5,62.2,0.5,94.1,87.0,8.8,Normal
2023-01-11 08:00:00,224.73,128.6,72.6,0.67,94.7,72.5,25.7,Normal
2023-01-11 09:00:00,235.81,131.5,66.9,0.6,96.5,77.8,35.0,Normal
2023-01-11 10:00:00,216.48,163.6,59.8,0.32,96.5,95.6,23.6,Normal
2023-01-11 11:00:00,234.76,182.2,75.5,0.66,97.2,76.1,9.0,Normal
2023-01-11 12:00:00,228.77,133.1,82.4,0.48,95.4,83.3,25.4,Normal
2023-01-11 13:00:00,238.48,137.5,66.6,0.43,91.0,65.8,24.6,Normal
2023-01-11 14:00:00,204.85,199.2,68.9,1.48,70.0,114.0,36.2,Critical
2023-01-11 15:00:00,200.0,210.7,78.7,1.6,90.7,48.1,36.7,Critical
2023-01-11 16:00:00,229.2,163.4,66.7,0.42,94.0,63.1,35.8,Normal
2023-01-11 17:00:00,230.11,188.0,64.5,0.43,90.5,48.0,9.2,Normal
2023-01-11 18:00:00,231.34,160.2,52.4,0.59,93.6,77.2,41.1,Normal
2023-01-11 19:00:00,232.17,173.3,66.1,0.37,84.4,80.8,18.2,Warning
2023-01-11 20:00:00,223.95,181.9,72.8,0.67,88.8,93.8,16.9,Warning
2023-01-11 21:00:00,236.29,177.5,75.2,0.94,89.2,104.1,33.4,Warning
2023-01-11 22:00:00,226.94,157.2,55.9,0.51,94.9,71.9,23.7,Normal
2023-01-11 23:00:00,220.59,139.0,65.7,0.52,91.9,94.0,16.3,Normal
2023-01-12 00:00:00,232.76,190.7,68.5,1.16,82.0,103.4,42.0,Warning
2023-01-12 01:00:00,226.65,177.8,63.0,0.53,95.8,73.0,33.1,Normal
2023-01-12 02:00:00,233.97,115.0,75.4,0.33,98.1,91.9,14.1,Normal
2023-01-12 03:00:00,205.07,186.8,86.8,1.41,86.2,120.0,50.0,Critical
2023-01-12 04:00:00,227.19,145.8,51.5,0.42,97.9,99.2,12.7,Normal
2023-01-12 05:00:00,227.04,149.5,67.2,0.42,96.3,67.9,24.9,Normal
2023-01-12 06:00:00,229.37,180.2,70.6,0.78,87.6,77.6,26.9,Warning
2023-01-12 07:00:00,237.99,161.2,62.6,0.57,94.0,92.6,28.7,Normal
2023-01-12 08:00:00,229.46,159.0,52.4,0.39,91.4,77.1,42.3,Normal
2023-01-12 09:00:00,242.85,196.0,80.0,0.44,85.3,69.2,22.5,Warning
2023-01-12 10:00:00,229.16,140.6,49.2,0.57,91.8,78.6,45.7,Normal
2023-01-12 11:00:00,225.4,99.4,62.7,0.61,100.0,56.6,30.0,Normal
2023-01-12 12:00:00,227.67,147.9,86.2,0.35,95.8,82.0,35.9,Normal
2023-01-12 13:00:00,230.49,156.2,61.9,0.53,94.0,84.3,21.3,Normal
2023-01-12 14:00:00,231.89,149.4,74.0,0.49,89.7,93.9,15.9,Normal
2023-01-12 15:00:00,226.73,138.1,76.0,0.29,100.0,90.8,27.2,Normal
2023-01-12 16:00:00,229.73,155.7,69.2,0.56,96.7,76.3,23.0,Normal
2023-01-12 17:00:00,229.24,146.1,74.1,0.56,86.2,84.8,26.9,Normal
2023-01-12 18:00:00,229.91,142.2,74.0,0.59,92.7,81.1,15.3,Normal
2023-01-12 19:00:00,223.1,137.5,71.9,0.6,96.5,85.9,30.2,Normal
2023-01-12 20:00:00,226.79,158.6,71.4,0.58,98.6,85.6,28.5,Normal
2023-01-12 21:00:00,233.56,179.3,66.2,0.77,84.3,71.5,28.3,Warning
2023-01-12 22:00:00,218.66,172.3,56.1,0.84,88.0,68.7,37.9,Warning
2023-01-12 23:00:00,234.69,117.8,58.9,0.42,92.2,87.4,23.1,Normal
2023-01-13 00:00:00,228.68,109.9,70.1,0.38,95.2,79.2,38.6,Normal
2023-01-13 01:00:00,223.46,89.6,66.5,0.68,98.7,78.1,20.1,Normal
2023-01-13 02:00:00,234.04,130.5,68.8,0.55,98.2,116.4,28.9,Normal
2023-01-13 03:00:00,227.46,149.5,50.8,0.43,93.8,67.1,26.5,Normal
2023-01-13 04:00:00,225.89,172.4,65.0,0.5,94.0,77.3,33.3,Normal
2023-01-13 05:00:00,225.66,136.8,62.6,0.37,92.5,67.9,33.7,Normal
2023-01-13 06:00:00,231.31,153.9,71.8,0.49,96.2,73.5,27.7,Normal
2023-01-13 07:00:00,227.09,101.2,63.9,0.64,97.8,89.5,37.4,Normal
2023-01-13 08:00:00,230.44,153.9,60.1,0.47,96.8,93.1,23.6,Normal
2023-01-13 09:00:00,227.75,150.0,69.8,0.36,88.1,66.7,12.8,Normal
2023-01-13 10:00:00,227.46,147.0,61.4,0.65,96.0,79.5,31.2,Normal
2023-01-13 11:00:00,215.89,206.0,74.2,0.93,82.6,53.9,39.8,Warning
2023-01-13 12:00:00,228.01,157.4,66.3,1.03,82.1,117.9,19.2,Warning
2023-01-13 13:00:00,233.19,143.4,69.8,0.45,94.5,75.6,15.0,Normal
2023-01-13 14:00:00,230.93,167.2,72.7,0.6,75.2,81.2,50.0,Warning
2023-01-13 15:00:00,233.92,149.6,62.9,0.5,96.6,57.3,36.1,Normal
2023-01-13 16:00:00,233.58,164.4,68.5,0.5,97.0,83.9,21.5,Normal
2023-01-13 17:00:00,227.13,152.0,77.4,0.38,90.6,77.5,25.5,Normal
2023-01-13 18:00:00,230.87,154.9,63.2,0.65,90.2,62.6,24.0,Normal
2023-01-13 19:00:00,211.85,175.6,91.6,0.8,89.2,59.8,22.6,Warning
